Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata VIII (DN8),1700000,2019,30238,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103736186-c3ccfd41/
Hyundai Sonata VIII (DN8),1850000,2020,31000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104850741-0d53db41/
Hyundai Sonata VIII (DN8),1700000,2019,70000,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103617814-a8ea474a/
Hyundai Sonata VII (LF),1250000,2015,51000,седан,белый,2.0,156,"Гибрид, газобаллонное оборудование",7020,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103914904-cf08b7cb/
Hyundai Sonata IV (EF),200000,2001,359000,седан,серый,2.0,136,Бензин,4760,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104630387-ac142852/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,450000,2007,150000,седан,красный,2.7,172,Бензин,7740,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103538770-6ce16f24/
Hyundai Sonata VII (LF) Рестайлинг,1100000,2019,98022,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104275413-121ac16c/
Hyundai Sonata VII (LF) Рестайлинг,1290000,2019,47000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104581693-17152efd/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,470000,2011,200000,седан,чёрный,2.0,137,Бензин,4795,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104055810-930b68f8/
Hyundai Sonata VII (LF) Рестайлинг,1400000,2019,50000,седан,белый,2.0,152,Бензин,6840,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,1.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1101922355-77d695c8/
Hyundai Sonata VII (LF) Рестайлинг,850000,2018,220000,седан,белый,2.0,152,Бензин,6840,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104708526-54c7c514/
Hyundai Sonata VII (LF) Рестайлинг,1150000,2019,100000,седан,белый,2.0,152,Бензин,6840,автоматическая,передний,Левый,Не требует ремонта,1,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104803297-5c4333d2/
Hyundai Sonata VII (LF) Рестайлинг,1050000,2019,124000,седан,белый,2.0,150,"Бензин, газобаллонное оборудование",5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103838558-99821234/
Hyundai Sonata III Рестайлинг,105000,1997,243516,седан,зелёный,1.8,110,Бензин,2750,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104846187-783a69b1/
Hyundai Sonata VII (LF) Рестайлинг,1300000,2018,81000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1102564555-72421671/
Hyundai Sonata VII (LF) Рестайлинг,1370000,2019,98000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104849421-30d704d1/
Hyundai Sonata VII (LF) Рестайлинг,1210000,2018,39000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104762579-e449a77d/
Hyundai Sonata VII (LF) Рестайлинг,1689000,2018,39240,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104036509-bf1ea573/
